120_90_current_energy,355_90_current_energy,590_90_current_energy,0_295_current_energy,240_295_current_energy,470_295_current_energy,700_295_current_energy,120_500_current_energy,355_500_current_energy,590_500_current_energy,945_90_current_energy,945_500_current_energy,1060_90_current_energy,1060_500_current_energy,1295_90_current_energy,1295_500_current_energy,930_295_current_energy,1160_295_current_energy,1390_295_current_energy,120_910_current_energy,355_910_current_energy,590_910_current_energy,0_590_current_energy,240_590_current_energy,470_590_current_energy,700_590_current_energy,0_885_current_energy,240_885_current_energy,470_885_current_energy,700_885_current_energy,0_1180_current_energy,240_1180_current_energy,470_1180_current_energy,700_1180_current_energy,940_590_current_energy,1180_590_current_energy,1400_590_current_energy,940_885_current_energy,1180_885_current_energy,1400_885_current_energy,940_1180_current_energy,1180_1180_current_energy,1400_1180_current_energy
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
