110_110_accumulated_energy,110_400_accumulated_energy,350_110_accumulated_energy
9940.0,9940.0,9940.0
10010.0,10010.0,10010.0
10080.0,10080.0,10080.0
10150.0,10150.0,10150.0
10220.0,10220.0,10220.0
10290.0,10290.0,10290.0
10360.0,10360.0,10360.0
10430.0,10430.0,10430.0
10500.0,10500.0,10500.0
10570.0,10570.0,10570.0
10640.0,10640.0,10640.0
10710.0,10710.0,10710.0
10780.0,10780.0,10780.0
10850.0,10850.0,10850.0
10920.0,10920.0,10920.0
10990.0,10990.0,10990.0
11060.0,11060.0,11060.0
11130.0,11130.0,11130.0
11200.0,11200.0,11200.0
11270.0,11270.0,11270.0
11340.0,11340.0,11340.0
11410.0,11410.0,11410.0
11480.0,11480.0,11480.0
11550.0,11550.0,11550.0
11620.0,11620.0,11620.0
11690.0,11690.0,11690.0
11760.0,11760.0,11760.0
11830.0,11830.0,11830.0
11900.0,11900.0,11900.0
11970.0,11970.0,11970.0
12040.0,12040.0,12040.0
12110.0,12110.0,12110.0
12180.0,12180.0,12180.0
12250.0,12250.0,12250.0
12320.0,12320.0,12320.0
12390.0,12390.0,12390.0
12460.0,12460.0,12460.0
12530.0,12530.0,12530.0
12600.0,12600.0,12600.0
12670.0,12670.0,12670.0
12740.0,12740.0,12740.0
12810.0,12810.0,12810.0
12880.0,12880.0,12880.0
12950.0,12950.0,12950.0
13020.0,13020.0,13020.0
13090.0,13090.0,13090.0
13160.0,13160.0,13160.0
13230.0,13230.0,13230.0
13300.0,13300.0,13300.0
13370.0,13370.0,13370.0
13440.0,13440.0,13440.0
13510.0,13510.0,13510.0
13580.0,13580.0,13580.0
13650.0,13650.0,13650.0
13720.0,13720.0,13720.0
13790.0,13790.0,13790.0
13860.0,13860.0,13860.0
13930.0,13930.0,13930.0
14000.0,14000.0,14000.0
14070.0,14070.0,14070.0
14140.0,14140.0,14140.0
14210.0,14210.0,14210.0
14280.0,14280.0,14280.0
14350.0,14350.0,14350.0
14420.0,14420.0,14420.0
14490.0,14490.0,14490.0
14560.0,14560.0,14560.0
14630.0,14630.0,14630.0
14700.0,14700.0,14700.0
14770.0,14770.0,14770.0
14840.0,14840.0,14840.0
14910.0,14910.0,14910.0
14980.0,14980.0,14980.0
15050.0,15050.0,15050.0
15120.0,15120.0,15120.0
15190.0,15190.0,15190.0
