light_x,light_y,total_energy
150,75,2339900
260,75,2339900
450,75,2339900
560,75,2339900
150,215,720000
150,355,2159900
290,215,1979900
290,355,1979900
420,215,1979900
420,355,1799900
560,215,1979900
560,355,1979900
150,500,2159900
290,500,1080000
420,500,1799900
560,500,1799900
