120_90_accumulated_energy,355_90_accumulated_energy,590_90_accumulated_energy,0_295_accumulated_energy,240_295_accumulated_energy,470_295_accumulated_energy,700_295_accumulated_energy,120_500_accumulated_energy,355_500_accumulated_energy,590_500_accumulated_energy
743600.0,736490.0,520520.0,743600.0,743600.0,743600.0,743600.0,520520.0,743600.0,743600.0
743700.0,736560.0,520590.0,743700.0,743700.0,743700.0,743700.0,520590.0,743700.0,743700.0
743800.0,736630.0,520660.0,743800.0,743800.0,743800.0,743800.0,520660.0,743800.0,743800.0
743900.0,736700.0,520730.0,743900.0,743900.0,743900.0,743900.0,520730.0,743900.0,743900.0
744000.0,736770.0,520800.0,744000.0,744000.0,744000.0,744000.0,520800.0,744000.0,744000.0
744100.0,736840.0,520870.0,744100.0,744100.0,744100.0,744100.0,520870.0,744100.0,744100.0
744200.0,736910.0,520940.0,744200.0,744200.0,744200.0,744200.0,520940.0,744200.0,744200.0
744300.0,736980.0,521010.0,744300.0,744300.0,744300.0,744300.0,521010.0,744300.0,744300.0
744400.0,737050.0,521080.0,744400.0,744400.0,744400.0,744400.0,521080.0,744400.0,744400.0
744500.0,737120.0,521150.0,744500.0,744500.0,744500.0,744500.0,521150.0,744500.0,744500.0
744600.0,737190.0,521220.0,744600.0,744600.0,744600.0,744600.0,521220.0,744600.0,744600.0
744700.0,737260.0,521290.0,744700.0,744700.0,744700.0,744700.0,521290.0,744700.0,744700.0
744800.0,737330.0,521360.0,744800.0,744800.0,744800.0,744800.0,521360.0,744800.0,744800.0
744900.0,737400.0,521430.0,744900.0,744900.0,744900.0,744900.0,521430.0,744900.0,744900.0
745000.0,737470.0,521500.0,745000.0,745000.0,745000.0,745000.0,521500.0,745000.0,745000.0
745100.0,737540.0,521570.0,745100.0,745100.0,745100.0,745100.0,521570.0,745100.0,745100.0
745200.0,737610.0,521640.0,745200.0,745200.0,745200.0,745200.0,521640.0,745200.0,745200.0
745300.0,737680.0,521710.0,745300.0,745300.0,745300.0,745300.0,521710.0,745300.0,745300.0
745400.0,737750.0,521780.0,745400.0,745400.0,745400.0,745400.0,521780.0,745400.0,745400.0
745500.0,737820.0,521850.0,745500.0,745500.0,745500.0,745500.0,521850.0,745500.0,745500.0
745600.0,737890.0,521920.0,745600.0,745600.0,745600.0,745600.0,521920.0,745600.0,745600.0
745700.0,737960.0,521990.0,745700.0,745700.0,745700.0,745700.0,521990.0,745700.0,745700.0
745800.0,738030.0,522060.0,745800.0,745800.0,745800.0,745800.0,522060.0,745800.0,745800.0
745900.0,738100.0,522130.0,745900.0,745900.0,745900.0,745900.0,522130.0,745900.0,745900.0
746000.0,738170.0,522200.0,746000.0,746000.0,746000.0,746000.0,522200.0,746000.0,746000.0
746100.0,738240.0,522270.0,746100.0,746100.0,746100.0,746100.0,522270.0,746100.0,746100.0
746200.0,738310.0,522340.0,746200.0,746200.0,746200.0,746200.0,522340.0,746200.0,746200.0
746300.0,738380.0,522410.0,746300.0,746300.0,746300.0,746300.0,522410.0,746300.0,746300.0
746400.0,738450.0,522480.0,746400.0,746400.0,746400.0,746400.0,522480.0,746400.0,746400.0
746500.0,738520.0,522550.0,746500.0,746500.0,746500.0,746500.0,522550.0,746500.0,746500.0
746600.0,738590.0,522620.0,746600.0,746600.0,746600.0,746600.0,522620.0,746600.0,746600.0
746700.0,738660.0,522690.0,746700.0,746700.0,746700.0,746700.0,522690.0,746700.0,746700.0
746800.0,738730.0,522760.0,746800.0,746800.0,746800.0,746800.0,522760.0,746800.0,746800.0
746900.0,738800.0,522830.0,746900.0,746900.0,746900.0,746900.0,522830.0,746900.0,746900.0
747000.0,738870.0,522900.0,747000.0,747000.0,747000.0,747000.0,522900.0,747000.0,747000.0
747100.0,738940.0,522970.0,747100.0,747100.0,747100.0,747100.0,522970.0,747100.0,747100.0
747200.0,739010.0,523040.0,747200.0,747200.0,747200.0,747200.0,523040.0,747200.0,747200.0
