light_x,light_y,total_energy
120,90,2339900.0
355,90,1907900.0
590,90,1691930.0
0,295,2015900.0
240,295,2339900.0
470,295,2339900.0
700,295,2177900.0
120,500,1907930.0
355,500,2339900.0
590,500,2285900.0
