light_x,light_y,total_energy
150,75,1799900
260,75,1799900
450,75,2340000
560,75,2340000
150,215,2340000
150,355,2340000
290,215,2340000
290,355,2340000
420,215,1980000
420,355,2160000
560,215,1980000
560,355,1800000
150,500,1980100
290,500,1980100
420,500,1439900
560,500,1439900
