light_x,light_y,total_energy
150,75,1979900
260,75,1979900
450,75,1800000
560,75,1620000
150,215,1799900
150,355,2339900
290,215,1799900
290,355,2339900
420,215,1979900
420,355,1979900
560,215,2339900
560,355,2339900
150,500,2339900
290,500,360000
420,500,1979900
560,500,1979900
